order,type,name,label::english,label::somali,required,relevant,appearance,constraint,constraint_message,choice_filter,calculation,media::image::english,media::image::somali,hint:english,hint:somali
154,select_one school_barriers,school_barrier_second,Second reason,Sababta labaad,TRUE,,,"not(selected(., ${school_barrier_first}))",Cannot be the same as the first,,,,,,
155,select_one school_barriers,school_barrier_third,Third reason,sababta saddexaad,TRUE,"not(selected(${school_barrier_second},'none'))",,"not(selected(., ${school_barrier_first}) or selected(., ${school_barrier_second}))",Cannot be the same as the first or second,,,,,,
156,text,school_barrier_other,"Other, specify","Midkale, Fadlan qeex",TRUE,"selected(${school_barrier_first},'other') or selected(${school_barrier_second},'other') or selected(${school_barrier_second},'other')",,,,,,,,,
157,end_group,,,,,,,,,,,,,,
158,select_one cashforeducation,cash_education,"If available, what would be the main type of support you would require for school enrollment or attendance?","Haddii la heli karo, waa maxay nooca caawimada ugu weyn oo aad u baahantahay iska diwaan gelinta iyo xaadirintaankaba?",TRUE,,,,,,,,,,
159,text,cash_education_other,"Other, specify","Midkale, Fadlan qeex",TRUE,"selected(${cash_education},'other')",,,,,,,,,
160,end_group,,,,,,,,,,,,,,
161,begin_group,Health,Health,Caafimaadka,,"selected(${consensus},'yes')",,,,,,,,,
162,select_multiple child_condition,child_health,Have any children (less than 5 years old) in the household suffered from the following illnesses or complications in the past 3 months/90 days? _Read out options to respondents_,Ma jiraan wax caruur ah (ka yar 5 sano jir) oo ka tirsan qoyskiina oo qabay xanuunadan soo socdo sadexdii bilood ee lasoo dhaafay?,TRUE,${children_0_4} > 0,,"not((selected(.,'none') or selected(.,'dnk')) and count-selected(.) >1)",Cannot select 'none' or 'don't know' and any other option,,,,,,
163,select_one yes_no,child_health_access,Were you able to access a healthcare facility in response to this issue?,Ma awoodeen inaad heshaan xarun caafimaad oo wax ka qabata dhibaatadan/xanuunadaas?,TRUE,"selected(${child_health}, 'malaria') or selected(${child_health}, 'fever') or selected(${child_health}, 'awd') or selected(${child_health}, 'respiratory_problems') or selected(${child_health}, 'malnutrition') or selected(${child_health}, 'other')",,,,,,,,,
164,select_one y_n_dk,pregnancy_health,Have any pregnant women or any women from the household who gave birth (in the last 6 months)  suffered from pre- or post-partum complications (any complications during or immediately after pregnancy)?,Ma jiraan dumar uur leh ama ilma dhashay (6 bilood ee lasoo dhaafay) oo ka tirsan qoyskiina oo qabay xannuuno ka hor ama ka dib dhalmada?,TRUE,,,,,,,,,,
165,select_one yes_no,pregnancy_health_access,Were you able to access a healthcare facility in response to this issue?,Ma awoodeen inaad heshaan xarun caafimaad oo wax ka qabata dhibaatadan/xanuunadaas?,TRUE,"selected(${pregnancy_health}, 'yes')",,,,,,,,,
166,select_multiple adult_condition,adult_heatlh,"Have any other members (i.e. female (not pregnant) above 5 years and male above 5 years) from the household suffered from the following? _Read out options to respondents_
",Ma jireen xubno kale (dumar aan uur lahayn kana weyn 5 sano jir iyo rag ka weyn 5 sano jir) oo qoyskiina ka tirsan oo qabay xanuunadan soo socdo?,TRUE,,,"not((selected(.,'none') or selected(.,'dnk')) and count-selected(.) >1)",Cannot select 'none' or 'don't know' and any other option,,,,,,
167,select_one yes_no,adult_health_access,Were you able to access a healthcare facility in response to this issue?,Ma awoodeen inaad heshaan xarun caafimaad oo wax ka qabata dhibaatadan/xanuunadan?,TRUE,"not(selected(${adult_heatlh}, 'none') or selected(${adult_heatlh}, 'dnk') )",,,,,,,,,
168,begin_group,health_barriers,Health barriers,Caqabadaha hortaagan helitaanka Daryeel caafimaad,,"selected(${child_health_access},'no') or selected(${pregnancy_health_access},'no') or selected(${adult_health_access},'no')",,,,,,,,,
169,note,health_barrier_note,What are the 3 main concerns you have in accessing healthcare services?,Waa maxay 3 dhibaatooyin ee ugu weyn ee idinka hortaagan inaad heshaan adeeg daryeel caafimaad?,,,,,,,,,,,
170,select_one health_barriers,health_barrier_first,First reason,Sababta koowaad:,TRUE,,,"not(selected(.,""none""))",First barrier cannot be none,,,,,,
171,select_one health_barriers,health_barrier_second,Second reason,Sababta labaad:,TRUE,,,"not(selected(., ${health_barrier_first}))",Cannot be the same as the first,,,,,,
172,select_one health_barriers,health_barrier_third,Third reason,Sababta seddexaad:,TRUE,"not(selected(${health_barrier_second},'none'))",,"not(selected(., ${health_barrier_first}) or selected(., ${health_barrier_second}))",Cannot be the same as the first or second,,,,,,
173,end_group,,,,,,,,,,,,,,
174,text,health_barrier_other,"Other, specify","Sabab kale, fadlan qeex/sheeg:",TRUE,"selected(${health_barrier_first},'other') or selected(${health_barrier_second},'other') or selected(${health_barrier_third},'other')",,,,,,,,,
175,select_one all_some_none_dnk,vaccination_children,Have all children in the household have been vaccinated?,Ma la talaalay dhamaan caruurta qoyskiina?,TRUE,${children_vaccine_age} > 0,,,,,,,,,
176,select_one all_some_none_dnk,vaccination_card,Do all vaccinated children have a vaccination card?,Dhamaan caruurta la talaalay ma haysataan kaarka talaalka?,TRUE,"selected(${vaccination_children}, 'all') or selected(${vaccination_children}, 'some')",,,,,,,,,
177,begin_group,vaccination_barriers,Vaccination barriers,Caqabadaha hortaagan helitaanka Talaalka,,"selected(${vaccination_children},'some') or selected(${vaccination_children},'none')",,,,,,,,,
178,note,vaccination_barrier_note,Why have children not been vaccinated?,Maxaa caruurta loo talaali waayay?,,,,,,,,,,,
179,select_one health_barriers,vaccination_barrier_first,First reason,Sababta koowaad:,TRUE,,,"not(selected(.,""none""))",First barrier cannot be none,,,,,,
180,select_one health_barriers,vaccination_barrier_second,Second reason,Sababta labaad:,TRUE,,,"not(selected(., ${vaccination_barrier_first}))",Cannot be the same as the first,,,,,,
181,select_one health_barriers,vaccination_barrier_third,Third reason,Sababta seddexaad:,TRUE,"not(selected(${vaccination_barrier_second},'none'))",,"not(selected(., ${vaccination_barrier_first}) or selected(., ${vaccination_barrier_second}))",Cannot be the same as the first or second,,,,,,
182,end_group,,,,,,,,,,,,,,
183,text,vaccination_barrier_other,"Other, specify","Sabab kale, fadlan qeex/sheeg:",TRUE,"selected(${vaccination_barrier_first},'other') or selected(${vaccination_barrier_second},'other') or selected(${vaccination_barrier_third},'other')",,,,,,,,,
184,select_multiple mental_problems,mental_problems_faced,Does any one in your household face or has faced one or more of the following problems in the past 12 months/1 year? _Read out options to respondents_,Ma jiraa qof ka tirsan qoyskiina oo la kulma ama la kulmay mid ama wax ka badan oo ka mid ah dhibaatooyinkan soo socdo sanadkii la soo dhaafay?,TRUE,,,"not((selected(.,'none') or selected(.,'dnk')) and count-selected(.) >1)","cannot select ""No change"" and ""I don’t know or I don’t want to answer"" with any other option",,,,,,
185,select_one y_n_dk,using_chains,Has any one in your family been chained?,Ma jiraa qof ka tirsan qoyskiina oo la katiinadeeyay ama la xiray? (Tusaale ahaan qof dhimirka la'),TRUE,,,,,,,,,,
186,select_one birth_location,birth_where,Where have women in the family given birth in the past year?,Xagee ayay ku dhali jireen dumarka qoyskiina ka tirsan sanadkii la soo dhaafay?,TRUE,,,,,,,,,,
187,text,birth_where_other,"Other, specify","Meel kale, fadlan qeex/sheeg",TRUE,"selected(${birth_where}, 'other')",,,,,,,,,
188,select_one yes_no,pay_health,Do you pay for health care?,Lacag miyaad ku bixisaan daryeelka caafimaad?,TRUE,,,,,,,,,,
189,select_one usd_price,cash_bracket_treatment,"How much on average did the household spend on healthcare (consultation, medicine) in the past 3 months/90 days?","Celcelis ahaan immisa lacag ah ayaa qoyskiina kaga baxday daryeelka caafimaad (talo caafimaad, dawo) 3 bilood ee lasoo dhaafay?",TRUE,"selected(${pay_health}, 'yes')",,,,,,,,,
190,select_one change_price,health_price_change,Has this cost increased or decreased in the past 3 months/90 days?,Kharashkan ma kordhay ama hoos ayuu u dhacay 3 bilood ee lasoo dhaafay?,TRUE,"selected(${pay_health}, 'yes')",,,,,,,,,
191,select_one time,time_health,How long does it take you to reach the nearest healthcare facility ?,Immisa ayay kugu qaadataa inaad ku gaartid/tagtid xarunta caafimaadka ee kuugu dhow?,TRUE,,,,,,,,,,
192,select_one transport_type,transport_health,How do you get there?,Sidee ku gaartaa/tagtaa halkaa?,TRUE,,,,,,,,,,
193,select_one health_facility_type,health_facility,What is the type of health facility?,Waa noocee xarunta/rugta caafimaadka?,TRUE,,,,,,,,,,
194,text,health_facility_other,"Other, specify","Nooc kale, fadlan qeex/sheeg",TRUE,"selected(${health_facility}, 'other')",,,,,,,,,
195,select_one y_n_dk,mobile_health_outreach,"Have you or anyone in your household had access to a mobile health team (doctors, nurses, NGO) in the past 6 months?","Ma jiraa adiga ama qof qoyskiina ka tirsan oo helay kooxda caafimaadka ee wareega (dhakhaatiir, kalkaaliyayaal caafimaad, Hay'ad ) 6 bilood ee lasoo dhaafay?",TRUE,,,,,,,,,,
196,select_one cash_health,cash_health,"If available, what would be the main type of support you would require for healthcare or accessing healthcare facilities?","Haddii la heli karo, waa maxay nooca ugu weyn ee taageero uga baahan tahay daryeelka caafimaad ama helitaanka xarun/rug caafimaad?",TRUE,,,,,,,,,,
197,select_one cash_vaccination,cash_vaccination,"If available, what would be the main type of support you would require for vaccinating children?","Haddii la heli karo, waa maxay nooca ugu weyn ee taageero uga baahan tahay tallaalida caruurta?",TRUE,,,,,,,,,,
198,end_group,,,,,,,,,,,,,,
199,begin_group,N,Nutrition,Nafaqada,,"selected(${consensus},'yes')",,,,,,,,,
,begin_group,nutrition_visit,Nutrition visits,Nutrition visits,,,field-list,,,,,,,,
200,note,receive_visit,Have you or anyone in your household received a visit from the following in the past 6 months:,Ma jiraa adiga ama qof qoyskiina ka tirsan oo laga soo booqday meelahan 6 bilood ee lasoo dhaafay?,,,,,,,,,,,
201,select_one y_n_dk,mobile_nutrition_team,Mobile nutrition team to assess for malnutrition,Kooxda wareegta ee nafaqada si ay u qiimeeyaan xaalada nafaqo daro,TRUE,,,,,,,,,,
202,select_one y_n_dk,mobile_muac_screening_plw,Mobile team doing MUAC screening for pregnant or lactating women,Kooxda wareegta ee nafaqada ee qaadaya cabirka wareega cududa sare ee dumarka uurka leh ama  nuujinaya (MUAC),TRUE,"selected(${plw},'yes')",,,,,,muactap.jpg,muactap.jpg,,
203,select_one y_n_dk,mobile_muac_screening_u5,Mobile team doing MUAC screening for children under age 5,Kooxda wareegta ee nafaqada ee qaadaya cabirka wareega cududa sare ee caruurta ka yar 5 sano jir (MUAC),TRUE,,,,,,,muactap.jpg,muactap.jpg,,
,end_group,,,,,,,,,,,,,,
204,select_one y_n_dk,plw_using_suplements,Are there any pregnant or lactating women in your household using any of the following supplements: Plumpy Sup/Nut or Corn Soybean Based vegetable oil? _Show photos_,Ma jiraa dumar uur leh ama nuujinaysa ee qoyskiina oo isticmaala cuntooyinka kaalmaatiga ah: buskut loos/ ama saliida borotiinka leh ee laga sameeyay galeyda iyo digirta (fadlan tus sawirka)?,TRUE,"selected(${plw},'yes')",,,,,,plumpy.jpg,plumpy.jpg,,
205,select_one y_n_dk,children_using_suplements,"Are there any children using any of the following supplements: Plumpy Sup, Plumpy Nut? _Show photos_",Ma jiraa caruur qoyskiina ka tirsan  oo isticmaala cuntooyinka kaalmaatiga ah: buskut loos/ ama saliida borotiinka leh ee laga sameeyay galeyda iyo digirta (fadlan tus sawirka)?,TRUE,,,,,,,plumpy.jpg,plumpy.jpg,,
206,select_one y_n_dk,children_enrolled_nutrition_centers, Are there any children enrolled in a nutritional centre or therapeutic feeding centre since the past 6 months?,Ma jiraan caruur qoyskiina ka tirsan oo laga diiwaangeliyay xarun nafaqo ama xarun quudinta daweysan lixdii bilood ee lasoo dhaafay?,TRUE,,,,,,,,,,
207,select_one time,nearest_nutrition_center,How long does it take you to reach the nearest nutritional centre or therapeutic feeding centre?,Immisa ayay kugu qaadataa inaad ku gaartid/tagtid xarunta nafaqada  ama xarunta quudinta daweysan ee kuugu dhow?,TRUE,,,,,,,,,,
208,select_one transport_type,transport_type_used,How do you get there?,Sidee ku gaartaa/tagtaa halkaa?,TRUE,,,,,,,,,,
209,select_one yes_no,access_nearest_nutrition_center, Have you been able to access  the nearest nutritional centre or therapeutic feeding centre when needed?,Ma awooday inaad tagtid xarunta nafaqada ama xarunta quudinta dawaysan ee kuugu dhow markaad u baahato?,TRUE,,,,,,,,,,
210,begin_group,nutrition_barrier_group,Nutrition barrier,Caqabadaha Nafaqada,,"selected(${access_nearest_nutrition_center},'no')",,,,,,,,,
211,note,nutrition_barrier_note,What are the 3 main concerns you have in accessing nutritional services?,Waa maxay 3 caqabado ee ugu weyn idinka hortaagan inaad heshaan adeegyo nafaqo?,,,,,,,,,,,
212,select_one nutrition_barrier,nutrition_barrier_first,First Reason,Sababta koowaad:,TRUE,,,"not(selected(.,""none""))",First barrier cannot be none,,,,,,
213,select_one nutrition_barrier,nutrition_barrier_second,Second Reason,Sababta labaad:,TRUE,,,"not(selected(., ${vaccination_barrier_first}))",Cannot be the same as the first,,,,,,
214,select_one nutrition_barrier,nutrition_barrier_third,Third Reason,Sababta seddexaad:,TRUE,"not(selected(${vaccination_barrier_second},'none'))",,"not(selected(., ${vaccination_barrier_first}) or selected(., ${vaccination_barrier_second}))",Cannot be the same as the first or second,,,,,,
215,end_group,,,,,,,,,,,,,,
216,text,nutrition_barrier_other,"Other, specify","Sabab kale, fadlan qeex/sheeg:",TRUE,"selected(${nutrition_barrier_first},'other') or selected(${nutrition_barrier_second},'other') or selected(${nutrition_barrier_third},'other')",,,,,,,,,
217,end_group,,,,,,,,,,,,,,
218,begin_group,P,WASH,WASH,,"selected(${consensus},'yes')",,,,,,,,,
219,select_one water_source,primary_source_drinking_water,What was your primary source of drinking water in the last 30 days?,Xagee ka heshay biyaha aad maalinlaha u isticmaashid  cabida 30-kii maalmood ee ugu dambeeyey?,TRUE,,,,,,,,,,
220,select_one water_source,primary_water_for_cooking,"What was your primary source of water to cook, bathe, and clean (not for livestock or agriculture) in the last 30 days?","Xagee ka heshaa biyaha aad maalinlaha u isticmaashid (dhaqida, karinta iyo cabida)30-kii maalmood ee ugu dambeeyey??",TRUE,,,,,,,,,,
221,select_one yes_no,enough_drinking_water,Did you have enough drinking water for all household members in the last 30 days?,Miyaad haysatay biyo cabidda ku filan dhammaan xubnaha qoyska 30-kii maalmood ee ugu dambeeyey?,TRUE,,,,,,,,,,
222,select_one yes_no,enough_cooking_water,"Did you have enough water for cooking, bathing, and cleaning in the last 30 days?","Miyaad haysatay biyo ku filan isticmaalka cunto karinta, maydhasho, iyo nadiifin 30-kii maalmood ee ugu dambeeyey?",TRUE,,,,,,,,,,
223,select_one yes_no,treat_drinking_water,Do you treat your drinking water?,Miyaad daawaysaa biyahaaga cabitaankaaga?,TRUE,,,,,,,,,,
224,select_one water_treat_how,water_treat_how,How do you treat your water?,Sidee iskaga daaweysaa/nadiiifaysaa biyaha la cabo?,TRUE,"selected(${treat_drinking_water},'yes')",,,,,,,,,
225,select_one time,time_to_reach_water_source,How long by foot does it take to reach your primary water source from your home?,Imisa ayey kugu qaadaneysaa inaad u lugeysid goobta kugu dhaw ee biyaha laga soo dhaansado?,TRUE,,,,,,,,,,
226,select_one yes_no,pay_water,Do you pay for water?,Biyaha lacag maka dhiibtaa?,TRUE,,,,,,,,,,
227,select_one water_price,how_much_pay_water,How much on average did the household spend on water in the past 3 months?,Celcelis ahaan Imisuu ahaa qiimaha  biyaha saddexdii bilood ee la soo dhaafay? ,TRUE,"selected(${pay_water},'yes')",,,,,,,,,
228,select_one price_change,water_price_changed,Has this cost increased or decreased in the past 3 months/90 days?,Qiimahaasi ma kordhay mise hoos ayuu u dhacay 3dii bilood ee lasoo dhaafay ?,TRUE,"selected(${pay_water},'yes')",,,,,,,,,
229,select_multiple water_storage,how_water_stored,How do you store your water?,Sidee ayaad u kayd sataa biyahaaga?,TRUE,,,,,,,,,,
230,select_one refill_jerrycan,refill_jerrycan,How often do you re-fill the jerry cans in a day?,intee jeer ayaad biyo soo dhaansataa maalinkii?,TRUE,"selected(${how_water_stored},'jerry_can')",,,,,,,,,
231,select_multiple jerrycan_condition,jerrycan_condition,"Are your jerry cans narrow-necked, covered, or stored on an elevated platform?","Miyuu jrinkaagu afyar yahay, dabool ma leeyahay ama meelsare ma la dhigaa ?",TRUE,"selected(${how_water_stored},'jerry_can')",,,,,,,,,
232,select_one household_latrine,household_access_latrine,Does your household have access to a latrine?,Qoyskaaga ma helaa suuli/musqul?,TRUE,,,,,,,,,,
233,begin_group,latrine_group,Latrines,Musqul,,"not(selected(${household_access_latrine},'no_latrine'))",,,,,,,,,
234,select_one yes_no,sharing_latrines,Do you share the latrine with more than 2 other households (not including your own)?,Ma la wadaagtaan musqulaha/suuliyada in ka badan 2 qoys oo kale (aanuu qoyskaagu ku jirin)?,TRUE,"selected(${household_access_latrine},'yes_shared')",,,,,,,,,
235,select_one latrine_type,latrine_type,What type of latrine do you mainly use?,Sheeg nooca suuliga/musqusha?,TRUE,,,,,,,,,,
236,select_one yes_no,latrines_seperated_by_gender,Are latrines used by your household separated by gender?,Musqulaha ma u kala soocan yihiin Rag iyo dumar?,TRUE,,,,,,,,,,
237,select_one yes_no,latrines_accessible_to_disabled,Are latrines used by your household accessible for disabled people?,Musqulaha/Suuliyada ma isticmaali karaan dadka naafada ah?,VRAI,,,,,,,,,,
238,select_one yes_no,latrines_locked_from_inside,Are latrines used by your household lockable from the inside?,Musqulaha/Suuliyada maka xirmi karaan gudaha?,TRUE,,,,,,,,,,
239,select_one yes_no,functional_handwashing,Do latrines used by your household have functional facilities for handwashing (water and soap)?,Musqulaha/Suuliyada ma leeyihiin meel gacmo-dhaq oo shaqeynaya?,TRUE,,,,,,,,,,
240,select_one yes_no,latrines_have_light,Do latrines used by your household have lighting at night?,Suuliga/musqusha qoyskaaga uu isticmaalo ma leedahay wax iftiin/leyr ah xilliga habeenki?,TRUE,,,,,,,,,,
241,select_one latrine_hygiene,latrine_hygiene,How hygienic were latrines in the last 30 days?,Musqulaha/Suuliyada nadiif ma ahaayeen 30 maalmood la soo dhaafay?,TRUE,,,,,,,,,,
242,select_one time,time_to_reach_latrine,How long by foot does it take to reach the nearest latrine you use from your home?,Intee  kugu qadanaysaa inaad lug ahaan ku gaadhid suuliga ugu dhow gurigaaga? ,TRUE,,,,,,,,,,
243,end_group,,,,,,,,,,,,,,
244,select_one dispose_children_feaces,dispose_children_feaces,"How do you dispose of faeces, and/or faeces of children?",Side isaga asturtaan saxarada iyo saxarada caruurta?,TRUE,,,,,,,,,,
245,select_multiple enviromental_sanitaiton_problems,enviromental_sanitaiton_problems,What environmental sanitation problems does the household face? _direct observation within 10m of the dwelling_,Maxay yihiin dhibaatooyinka nadaafadda deegaanka ee guriga ka jira? (indha-indheyn toos ah 10m oo guryo ah),TRUE,,,"not(selected(., ""none"") and count-selected(.) > 1)","cannot select ""No change"" and ""I don’t know or I don’t want to answer"" with any other option",,,,,,
246,select_multiple when_wash_hands,when_wash_hands,At what times do you wash your hands?,Waqtigee ayaad gacmahaaga dhaqdaa?,TRUE,,,,,,,,,,
247,select_one yes_no,access_to_soap,Do you have soap in your household or daily access to soap?,Miyaad haysataa saabuun  mise heli kartaan maalin kasta?,TRUE,,,,,,,,,,
248,select_one time,nearest_handwashing_facility,How long by foot does it take to reach the nearest handwashing facility you use from your home?,Intee ayay kugu qaadataa inaad lug ku gaartid meesha kugu dhow ee faraha lagu dhaqdo?,TRUE,,,,,,,,,,
249,select_one y_n_dk,hygienic_menstruction_materials,Do women in the household have access to and use hygienic menstruation materials?,Haweenka qoysku ma heli karaan iyo mana isticmaali karaan qalabka nadaafadda haweenka?,TRUE,,,,,,,,,,
250,begin_group,water_access_barrier,Water Access Barrier,Caqabadaha helitaanka  Biyaha,,,,,,,,,,,
251,note,water_access_barrier_note,"What are the 3 main concerns you have in accessing drinking water, or water for cooking, cleaning, bathing?","Waa maxay  3da dhibaatooyin ugu waaweyn ee aadla kulantosi aad uhesho biyo nadiif ah, ama biyo lagu kariyo, nadiifinta, Qabeyska?",,,,,,,,,,,
252,select_one concerns_accessing_drinking_water,water_access_barrier_first,First reason,Sababta koowaad,TRUE,,,,,,,,,,
253,select_one concerns_accessing_drinking_water,water_access_barrier_second,Second reason,Sababta labaad,TRUE,"not(selected(${water_access_barrier_first},'none'))",,"not(selected(., ${water_access_barrier_first}))",Cannot be the same as the first,,,,,,
254,select_one concerns_accessing_drinking_water,water_access_barrier_third,Third reason,Sababta saddexaad,TRUE,"not(selected(${water_access_barrier_first},'none') or selected(${water_access_barrier_second},'none'))",,"not(selected(., ${water_access_barrier_first}) or selected(., ${water_access_barrier_second}))",Cannot be the same as the first or second,,,,,,
255,end_group,,,,,,,,,,,,,,
256,text,water_access_barrier_other,"Other, specify","Kale, sheeg",TRUE,"selected(${water_access_barrier_first},'other') or selected(${water_access_barrier_second},'other') or selected(${water_access_barrier_third},'other')",,,,,,,,,
257,begin_group,latrine_access_barrier,Latrine Access Barrier,Caqabadaha helitaanka  Musqul,,,,,,,,,,,
258,note,latrine_access_barrier_note,What are the 3 main concerns you have in accessing latrines?,Waa maxay 3da dhibaatooyin ugu waaweyn ee aad kala kulanto helitaanka musqulo?,,,,,,,,,,,
259,select_one concerns_accessing_latrines,latrine_access_barrier_first,First reason,Sababta koowaad,TRUE,,,,First barrier cannot be none,,,,,,
260,select_one concerns_accessing_latrines,latrine_access_barrier_second,Second reason,Sababta labaad,TRUE,"not(selected(${latrine_access_barrier_first},'none'))",,"not(selected(., ${latrine_access_barrier_first}))",Cannot be the same as the first,,,,,,
261,select_one concerns_accessing_latrines,latrine_access_barrier_third,Third reason,Sababta saddexaad,TRUE,"not(selected(${latrine_access_barrier_first},'none') or selected(${latrine_access_barrier_second},'none'))",,"not(selected(., ${latrine_access_barrier_first}) or selected(., ${latrine_access_barrier_second}))",Cannot be the same as the first or second,,,,,,
262,end_group,,,,,,,,,,,,,,
263,text,latrine_access_barrier_other,"Other, specify","Haddii caqabado Kale, sheeg",TRUE,"selected(${latrine_access_barrier_first},'other') or selected(${latrine_access_barrier_second},'other') or selected(${latrine_access_barrier_third},'other')",,,,,,,,,
264,begin_group,hygiene_barrier,Hygiene Access Barrier,Caqadaha helitanka  qalabka nadaafadda,,,,,,,,,,,
265,note,hygiene_barrier_note,What are the 3 main concerns you have in accessing handwashing facilities or hygienic menstruation materials?,Waa maxay   3ka dhibaatooyin ugu waaweyn ee aad kala kulanto helitaanka qalabka gacma-dhaqidda ama qalabka nadaafadda ee  haweenka?,,,,,,,,,,,
266,select_one concerns_accessing_handwashing,hygiene_barrier_first,First reason,Sababta koowaad,TRUE,,,,First barrier cannot be none,,,,,,
267,select_one concerns_accessing_handwashing,hygiene_barrier_second,Second reason,Sababta labaad,TRUE,"not(selected(${hygiene_barrier_first},'none'))",,"not(selected(., ${hygiene_barrier_first}))",Cannot be the same as the first,,,,,,
268,select_one concerns_accessing_handwashing,hygiene_barrier_third,Third reason,Sababta saddexaad,TRUE,"not(selected(${hygiene_barrier_first},'none') or selected(${hygiene_barrier_second},'none'))",,"not(selected(., ${hygiene_barrier_first}) or selected(., ${hygiene_barrier_second}))",Cannot be the same as the first or second,,,,,,
269,end_group,,,,,,,,,,,,,,
270,text,hygiene_barrier_other,"Other, specify","Kale, sheeg",TRUE,"selected(${hygiene_barrier_first},'other') or selected(${hygiene_barrier_second},'other') or selected(${hygiene_barrier_third},'other')",,,,,,,,,
271,select_one dificulty_obtaining_soap,dificulty_obtaining_soap,Difficulty in obtaining soap,Dhibaatada helitaanka saabuun,TRUE,"selected(${hygiene_barrier_first},'no_soap') or selected(${hygiene_barrier_first},'diff_soap') or selected(${hygiene_barrier_second},'no_soap') or selected(${hygiene_barrier_second},'diff_soap') or selected(${hygiene_barrier_third},'no_soap') or selected(${hygiene_barrier_third},'diff_soap') ",,,,,,,,,
272,select_one dificulty_obtaining_menstruation,dificulty_obtaining_menstruation,Difficulty in obtaining menstruation materials,Way adag tahay helitaanka alaabada caadada,TRUE,"selected(${hygiene_barrier_first},'diff_mens_mat') or selected(${hygiene_barrier_second},'diff_mens_mat') or selected(${hygiene_barrier_third},'diff_mens_mat')",,,,,,,,,
273,select_one main_support_for_drinking or_other,main_support_required,"If available, what would be the main type of support you would require for accessing drinking water or water for cooking, bathing, cleaning?","Haddii la heli karo, maxay noqon kartaa nooca ugu muhiimsan ee taageerada aad u baahan tahay si aad u hesho biyo cabid ama biyo lagu kariyo, lagu qabeeysaka, lagu nadiifiyo?",TRUE,,,,,,,,,,
274,select_one main_support_latrines or_other,main_support_latrines,"If available, what would be the main type of support you would require for accessing latrines?","Haddii la heli karo, maxay noqon kartaa nooca ugu muhiimsan ee taageerada ee aad u baahan tahay helitaanka musqulo?",TRUE,,,,,,,,,,
275,select_one main_support_handwashing or_other,main_support_handwashing,"If available, what would be the main type of support you would require for accessing handwashing facilities, hygienic materials?","Haddii la heli karo, maxay noqon kartaa nooca ugu muhiimsan ee taageerada aad u baahan tahay si aad u hesho qalabka gacma-dhaqashada, qalabka nadaafadda?",TRUE,,,,,,,,,,
276,select_one y_n_dk,household_been_consulted_water,"Has your household been consulted, or able to participate in the design, location, delivery of drinking water or water sources?","Qoyskaagu ma lagala tashaday, ama awoodi karayeen  in uu ka qaybqaato qorshaynta, goobta, bixinta biyaha la cabbo ama ilaha biyaha?",TRUE,,,,,,,,,,
277,select_one y_n_dk,household_been_consulted_sanitaiton,"Has your household been consulted, or able to participate in the design, location, delivery of sanitation facilities?","Qoyskaagu ma lagala tashaday, ama awoodi karayeen  in uu ka qaybqaato qorshaynta, goobta, bixinta qalabka nadaafadda?",TRUE,,,,,,,,,,
278,select_one y_n_dk,water_sourcces_well_developed,Do you believe that water sources are well developed and sustainable?,Miyaad aaminsan tahay in ilaha biyaha ay si fiican loo hagaajiyey oo muddana waari karaan?,TRUE,,,,,,,,,,
279,end_group,,,,,,,,,,,,,,
280,begin_group,O,Shelter and Non-Food Items,Hoyga iyo macuunta,,"selected(${consensus},'yes')",,,,,,,,,
281,integer,shelter_occupy,How many shelters does the household occupy in this location (0 if open air)?,Imisa hoy ayuu qoyskiinu degenyahay?,TRUE,,,,,,,,,,
282,begin_group,shelter_group,Shelter,hoy,,${shelter_occupy} > 0,,,,,,,,,
283,integer,age_of_shelter,How old is your shelter in months? (enter 999 if unknown),imisa bilood ayuu dhisanyahay hoygiinu? ( waxad galisaa 999 hadi an la aqoon),TRUE,,,,,,,,,,
284,select_one yes_no,accupying_longer_3_months,Have you been occupying this shelter for longer than 3 months/90 days?,ma waxad daganaydeen hoygan wax kadan 3 bilood?,TRUE,,,,,,,,,,
285,select_one floor_material,primary_floor_material,What is the primary floor material?,waa maxay alaabta asaasiga ah ee sagxada?,TRUE,,,,,,,,,,
286,select_one structural_material,primary_structural_material,What is the primary structural material?,wa maxay alaabta asaasiga ah ee qaab dhismeedka?,TRUE,,,,,,,,,,
287,select_one roof_material,primary_roof_material,What is the primary roof material?,Muxuu ka samaysan yahay saqafka gurigu?,TRUE,,,,,,,,,,
288,select_one roof_wall_material,primary_wall_material,What is the primary wall?,waa maxay waxa uu ka samysan yahay darbiga hoygiinu ?,TRUE,,,,,,,,,,
289,select_one door_material,primary_door_material,What is the primary door material?,waa maxay waxa uu ka samysan yahay Albaabka hoygiinu ?,TRUE,,,,,,,,,,
290,select_one yes_no,shelter_damaged_last_90_days,"Has your shelter (walls, roof, doors) been damaged (moderate or heavy) and not been repaired in the past 3 months/90 days?","( darbiga, saqafka iyo albaabadu) hoygina waxyeelo ma soo gartay habadnaato ama hayaratee oo an la dayacdirin 3 bilood ee lasoo dhafay ?",TRUE,,,,,,,,,,
291,select_one reason_for_shelter_damage,reason_for_shelter_damage,What was the main reason for shelter damage?,maxay ahayd sababta ugu wayn ee hooy giinu u wax yeeloobay ,TRUE,"selected(${shelter_damaged_last_90_days},'yes')",,,,,,,,,
